[ TESTNAME ]                              5000           10000           25000          100000          250000          500000         1000000         5000000
[ directwrite ]                      0.016201s       0.029261s       0.069733s       0.263735s       0.675850s       1.386163s       2.668648s      13.724956s
[ multipledirectwrite ]              0.042984s       0.091715s       0.198615s       0.932618s       2.427379s       4.281499s       8.917736s      40.613214s
[ worker ]                           0.012817s       0.026295s       0.062938s       0.404847s       0.919978s       2.157374s       4.125925s      22.124071s
[ multipleworker ]                   0.041136s       0.074973s       0.170343s       0.830584s       2.095497s       4.374751s       8.400519s      42.250996s
[ worker[25] ]                       0.035422s       0.069094s       0.168044s       0.841460s       2.129194s       4.237722s       8.559284s      43.363601s
[ worker[50] ]                       0.044024s       0.070173s       0.175719s       0.876116s       2.241699s       4.882487s      10.136175s      47.315185s
[ cblockfree ]                       0.011419s       0.021389s       0.050237s       0.641139s       1.230983s       2.482095s       4.920724s      26.561554s
[ dualcblockfree ]                   0.009731s       0.023214s       0.051591s       0.400929s       0.993978s       2.114595s       4.065560s      20.622726s
[ mpsclockfree ]                     0.009660s       0.019386s       0.050021s       0.434815s       1.127730s       2.316669s       4.641079s      24.222490s
[ spsclockfree ]                     0.007450s       0.014102s       0.041056s       0.146111s       0.392675s       0.816212s       1.678787s      14.804303s
[ spsc[25] ]                         0.010644s       0.016693s       0.049059s       0.199292s       0.490517s       0.992169s       2.033178s      12.207147s
[ spsc[50] ]                         0.009740s       0.019677s       0.048697s       0.194082s       0.511773s       0.995403s       2.149621s      12.588628s
[ tdcblockfree ]                     0.006867s       0.015027s       0.036774s       0.152935s       0.836511s       1.635894s       3.204501s      17.815958s
